(Greed, 0010000100001010001)
(headlined, 0010000100001010010)
(displeased, 0010000100001010011)
(apathy, 001000010000101010)
(marshy, 0010000100001010110)
(bypass, 0010000100001010111)
(repetition, 0010000100001011000)
(conquered, 0010000100001011001)
(symptom, 0010000100001011010)
(Willow, 0010000100001011011)
(Bend, 0010000100001011100)
(Indiana, 0010000100001011101)
(grandfather's, 0010000100001011110)
(blunt, 0010000100001011111)
(evasion, 001000010000110)
(halls, 0010000100001110)
(predecessors, 001000010000111100)
(Disunity, 001000010000111101)
(laughable, 0010000100001111100)
(smuggler, 0010000100001111101)
(highwayman, 001000010000111111)
(prizefighter's, 0010000100010000000)
(Strips, 0010000100010000001)
(instantly, 0010000100010000010)
(persuasively, 0010000100010000011)
(roared, 001000010001000010)
(radiation, 0010000100010000110)
(linked, 0010000100010000111)
(unaffected, 0010000100010001000)
(slush, 0010000100010001001)
(windless, 0010000100010001010)
(mezzanine, 0010000100010001011)
(Crouching, 0010000100010001100)
(appraisingly, 0010000100010001101)
(stir, 0010000100010001110)
(clawing, 0010000100010001111)
(planner, 0010000100010010000)
(sickened, 0010000100010010001)
(springboard, 001000010001001001)
(jet, 00100001000100101)
(gifted, 0010000100010011000)
(administrator, 0010000100010011001)
(merger, 0010000100010011010)
(reconciled, 0010000100010011011)
(conflicting, 0010000100010011100)
(ing, 0010000100010011101)
(minced, 0010000100010011110)
(circle's, 0010000100010011111)
(inhabitant, 001000010001010000)
(holster, 001000010001010001)
(shale, 00100001000101001)
(darn, 001000010001010100)
(Egypt, 0010000100010101010)
(simpers, 0010000100010101011)
(Technicians, 0010000100010101100)
(Action, 0010000100010101101)
(Patience, 0010000100010101110)
(recipe, 0010000100010101111)
(Nineteen, 0010000100010110000)
(gaudy, 0010000100010110001)
(chemistry, 0010000100010110010)
(compression, 0010000100010110011)
(she'll, 00100001000101101)
(austere, 0010000100010111)
(repairing, 0010000100011000000)
(immunity, 0010000100011000001)
(unselfish, 0010000100011000010)
(wrests, 0010000100011000011)
(vagueness, 0010000100011000100)
(Knock, 0010000100011000101)
(procession, 001000010001100011)
(firearms, 0010000100011001000)
(wagon, 0010000100011001001)
(careless, 001000010001100101)
(commandant, 001000010001100110)
(occurring, 0010000100011001110)
(pseudo, 0010000100011001111)
(encircling, 00100001000110100)
(Everybody's, 001000010001101010)
(jockey, 0010000100011010110)
(accelerator, 0010000100011010111)
